,Year,GP,Driver,Team,Points
0,1998,0,Mika Häkkinen,McLaren,10.0
1,1998,0,David Coulthard,McLaren,6.0
2,1998,0,Michael Schumacher,Ferrari,4.0
3,1998,0,Alexander Wurz,Benetton,3.0
4,1998,0,Heinz-Harald Frentzen,Williams,2.0
5,1998,0,Giancarlo Fisichella,Benetton,1.0
6,1998,0,Jacques Villeneuve,Williams,0.0
7,1998,0,Eddie Irvine,Ferrari,0.0
8,1998,0,Jean Alesi,Sauber,0.0
9,1998,0,Jan Magnussen,Stewart,0.0
10,1998,0,Johnny Herbert,Sauber,0.0
11,1998,0,Damon Hill,Jordan,0.0
12,1998,0,Olivier Panis,Prost,0.0
13,1998,0,Rubens Barrichello,Stewart,0.0
14,1998,0,Ricardo Rosset,Tyrrell,0.0
15,1998,0,Esteban Tuero,Minardi,0.0
16,1998,0,Pedro Diniz,Arrows,0.0
17,1998,0,Toranosuke Takagi,Tyrrell,0.0
18,1998,0,Mika Salo,Arrows,0.0
19,1998,0,Jarno Trulli,Prost,0.0
20,1998,0,Shinji Nakano,Minardi,0.0
21,1998,0,Ralf Schumacher,Jordan,0.0
22,1998,1,Michael Schumacher,Ferrari,10.0
23,1998,1,Mika Häkkinen,McLaren,6.0
24,1998,1,Eddie Irvine,Ferrari,4.0
25,1998,1,Alexander Wurz,Benetton,3.0
26,1998,1,Jean Alesi,Sauber,2.0
27,1998,1,David Coulthard,McLaren,1.0
28,1998,1,Giancarlo Fisichella,Benetton,0.0
29,1998,1,Damon Hill,Jordan,0.0
30,1998,1,Heinz-Harald Frentzen,Williams,0.0
31,1998,1,Rubens Barrichello,Stewart,0.0
32,1998,1,Jarno Trulli,Prost,0.0
33,1998,1,Toranosuke Takagi,Tyrrell,0.0
34,1998,1,Shinji Nakano,Minardi,0.0
35,1998,1,Ricardo Rosset,Tyrrell,0.0
36,1998,1,Olivier Panis,Prost,0.0
37,1998,1,Esteban Tuero,Minardi,0.0
38,1998,1,Jacques Villeneuve,Williams,0.0
39,1998,1,Johnny Herbert,Sauber,0.0
40,1998,1,Ralf Schumacher,Jordan,0.0
41,1998,1,Mika Salo,Arrows,0.0
42,1998,1,Jan Magnussen,Stewart,0.0
43,1998,1,Pedro Diniz,Arrows,0.0
44,1998,2,David Coulthard,McLaren,10.0
45,1998,2,Michael Schumacher,Ferrari,6.0
46,1998,2,Eddie Irvine,Ferrari,4.0
47,1998,2,Jacques Villeneuve,Williams,3.0
48,1998,2,Heinz-Harald Frentzen,Williams,2.0
49,1998,2,Jean Alesi,Sauber,1.0
50,1998,2,Ralf Schumacher,Jordan,0.0
51,1998,2,Esteban Tuero,Minardi,0.0
52,1998,2,Mika Salo,Arrows,0.0
53,1998,2,Damon Hill,Jordan,0.0
54,1998,2,Olivier Panis,Prost,0.0
55,1998,2,Ricardo Rosset,Tyrrell,0.0
56,1998,2,Toranosuke Takagi,Tyrrell,0.0
57,1998,2,Jarno Trulli,Prost,0.0
58,1998,2,Shinji Nakano,Minardi,0.0
59,1998,2,Pedro Diniz,Arrows,0.0
60,1998,2,Mika Häkkinen,McLaren,0.0
61,1998,2,Giancarlo Fisichella,Benetton,0.0
62,1998,2,Alexander Wurz,Benetton,0.0
63,1998,2,Johnny Herbert,Sauber,0.0
64,1998,2,Jan Magnussen,Stewart,0.0
65,1998,2,Rubens Barrichello,Stewart,0.0
66,1998,3,Mika Häkkinen,McLaren,10.0
67,1998,3,David Coulthard,McLaren,6.0
68,1998,3,Michael Schumacher,Ferrari,4.0
69,1998,3,Alexander Wurz,Benetton,3.0
70,1998,3,Rubens Barrichello,Stewart,2.0
71,1998,3,Jacques Villeneuve,Williams,1.0
72,1998,3,Johnny Herbert,Sauber,0.0
73,1998,3,Heinz-Harald Frentzen,Williams,0.0
74,1998,3,Jarno Trulli,Prost,0.0
75,1998,3,Jean Alesi,Sauber,0.0
76,1998,3,Ralf Schumacher,Jordan,0.0
77,1998,3,Jan Magnussen,Stewart,0.0
78,1998,3,Toranosuke Takagi,Tyrrell,0.0
79,1998,3,Shinji Nakano,Minardi,0.0
80,1998,3,Esteban Tuero,Minardi,0.0
81,1998,3,Olivier Panis,Prost,0.0
82,1998,3,Damon Hill,Jordan,0.0
83,1998,3,Eddie Irvine,Ferrari,0.0
84,1998,3,Giancarlo Fisichella,Benetton,0.0
85,1998,3,Mika Salo,Arrows,0.0
86,1998,3,Pedro Diniz,Arrows,0.0
87,1998,4,Mika Häkkinen,McLaren,10.0
88,1998,4,Giancarlo Fisichella,Benetton,6.0
89,1998,4,Eddie Irvine,Ferrari,4.0
90,1998,4,Mika Salo,Arrows,3.0
91,1998,4,Jacques Villeneuve,Williams,2.0
92,1998,4,Pedro Diniz,Arrows,1.0
93,1998,4,Johnny Herbert,Sauber,0.0
94,1998,4,Damon Hill,Jordan,0.0
95,1998,4,Shinji Nakano,Minardi,0.0
96,1998,4,Michael Schumacher,Ferrari,0.0
97,1998,4,Toranosuke Takagi,Tyrrell,0.0
98,1998,4,Jean Alesi,Sauber,0.0
99,1998,4,Jarno Trulli,Prost,0.0
100,1998,4,Olivier Panis,Prost,0.0
101,1998,4,Ralf Schumacher,Jordan,0.0
102,1998,4,Alexander Wurz,Benetton,0.0
103,1998,4,Jan Magnussen,Stewart,0.0
104,1998,4,David Coulthard,McLaren,0.0
105,1998,4,Rubens Barrichello,Stewart,0.0
106,1998,4,Heinz-Harald Frentzen,Williams,0.0
107,1998,4,Esteban Tuero,Minardi,0.0
108,1998,4,Ricardo Rosset,Tyrrell,0.0
109,1998,5,Michael Schumacher,Ferrari,10.0
110,1998,5,Giancarlo Fisichella,Benetton,6.0
111,1998,5,Eddie Irvine,Ferrari,4.0
112,1998,5,Alexander Wurz,Benetton,3.0
113,1998,5,Rubens Barrichello,Stewart,2.0
114,1998,5,Jan Magnussen,Stewart,1.0
115,1998,5,Shinji Nakano,Minardi,0.0
116,1998,5,Ricardo Rosset,Tyrrell,0.0
117,1998,5,Pedro Diniz,Arrows,0.0
118,1998,5,Jacques Villeneuve,Williams,0.0
